Incident Number,Severity,Severity Level,Date,Location,Pipeline Operator,Material Released,PHMSA Guide Reference,Incident Description,Response Actions,Casualties & Injuries
155,🟡 Minor,Minor,"January 2, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A pressure control system failure led to excessive pressure buildup, rupturing a section of an LPG transmission pipeline.","Pipeline shutdown, and affected section isolated.
Automated relief valves upgraded for improved response times.
Pipeline pressure control systems recalibrated.",No injuries reported.
156,🟡 Minor,Minor,"July 14, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pump system failure resulted in backflow and leakage from an oil pipeline, triggering emergency shutdown procedures.","Pipeline operations halted, and leaked oil contained.
Pump system repaired and tested for further failures.
Emergency shutdown protocols reviewed and refined.",No injuries reported.
157,🟡 Minor,Minor,"May 25, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A glitch in the SCADA (Supervisory Control and Data Acquisition) system caused incorrect valve positioning, leading to temporary overpressure in a transmission pipeline.","Automated relief system activated.
SCADA software updated and additional safety failsafes implemented.
Personnel training increased on system failure response.",No injuries reported.
158,🟠 Moderate,Moderate,"January 18, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike hit the control building of a pump station, igniting minor electrical fires inside.","Fire suppression system activated automatically.
Electrical panels inspected and replaced.
Lightning protection system upgraded.",No injuries reported.
159,🟡 Minor,Minor,"September 9, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pump operator failed to close a valve properly, causing crude oil to be pumped beyond capacity, resulting in a spill.","Transfer operations halted, and spill contained.
Pump operators retrained on proper transfer procedures.
Additional automated shutoffs installed to prevent overfilling.",No injuries reported.
160,🟡 Minor,Minor,"March 10, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A processing plant experienced a failure in its pressure relief system, resulting in a hydrogen sulfide gas release into the facility.","Emergency alarms activated, and facility personnel evacuated.
Gas dispersion monitored, and ventilation system engaged.
Pressure relief system reviewed and upgraded to prevent recurrence.","One worker suffered minor exposure symptoms, treated on-site."
161,⚪ Near Miss / No Impact,,"June 5, 2023","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A manufacturing defect in a pipeline seam resulted in a small but continuous natural gas leak, detected through aerial infrared surveys.","Pipeline section isolated, and defective seam repaired.
All similar pipeline sections inspected for potential weaknesses.
Pipeline manufacturing standards reviewed and reinforced.",No injuries reported.
162,🟡 Minor,Minor,"August 10, 2021","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A transfer hose ruptured during fuel transfer operations, spilling approximately 1,500 gallons of diesel fuel within the secondary containment area.","Operations stopped, and spill contained using absorbent materials.
All hoses inspected for potential defects and weak points.
Routine hose pressure testing procedures strengthened.",No injuries reported.
163,🟡 Minor,Minor,"April 21, 2022","Denver, Colorado",XYZ Pipeline Company,None (Near Miss),Guide 128,A contractor conducting roadwork unknowingly began excavating near an active crude oil transmission pipeline without notifying the operator.,"Excavation work halted immediately.
Pipeline integrity verified to confirm no damage.
Regulatory fines issued, and excavation safety training mandated.",No injuries reported.
164,🟠 Moderate,Moderate,"October 15, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,None (Fire Event),Guide 115,"A lubrication pump failure caused excessive friction in a gas compressor unit, leading to a small fire within the compressor housing.","Fire suppression system activated, preventing spread.
Lubrication system replaced and preventive measures reviewed.
Thermal sensors installed to detect early overheating signs.",No injuries reported.
165,🟡 Minor,Minor,"January 8, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A sudden temperature drop caused thermal stress in an LPG pipeline, leading to a rupture and gas release.","Pipeline operations halted, and emergency response initiated.
Pipeline reinforced with temperature-resistant materials.
Weather-based operational adjustments implemented.",No injuries reported.
166,🟡 Minor,Minor,"July 19, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A storage tank developed a crack due to long-term structural fatigue, causing a crude oil leak of approximately 10,000 gallons.","Spill containment activated, and oil recovered.
Tank integrity assessed, and structural reinforcement implemented.
Routine stress testing added for storage tanks.",No injuries reported.
167,🟡 Minor,Minor,"May 11, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A SCADA (Supervisory Control and Data Acquisition) system error resulted in delayed pressure relief activation, causing a temporary overpressure event.","Automated relief system activated manually by operators.
SCADA software updated to improve response time.
Additional operator training conducted for manual intervention.",No injuries reported.
168,🟠 Moderate,Moderate,"February 2, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike at a crude oil storage facility ignited vapors near a tank vent, causing a small fire that was contained within minutes.","Fire suppression system activated, preventing further damage.
Lightning protection system upgraded at the facility.
Tank venting procedures reviewed to reduce vapor accumulation.",No injuries reported.
169,⚪ Near Miss / No Impact,,"September 3, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"An aging pipeline segment developed a small crack, leading to a crude oil leak detected by remote monitoring systems.","Pipeline section shut down, and oil spill contained.
Aging pipeline replacement project accelerated.
Leak detection system enhanced for older pipeline sections.",No injuries reported.
170,🟡 Minor,Minor,"March 4, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A pressure valve malfunction in a sour gas processing unit caused a brief hydrogen sulfide gas release, prompting emergency evacuation.","Facility personnel evacuated, and emergency response teams deployed.
Gas dispersion monitored to ensure safety before reentry.
Pressure control systems reviewed and reinforced.","One worker experienced mild exposure symptoms, treated on-site."
171,🟡 Minor,Minor,"June 14, 2023","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A recently welded pipeline joint failed under pressure, resulting in a minor but continuous gas leak, detected by remote monitoring.","Pipeline section isolated, and weld repaired.
Inspection of all recent welding work conducted.
Enhanced training provided to welding personnel.",No injuries reported.
172,🟡 Minor,Minor,"August 5, 2021","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A faulty pressure relief valve on a loading arm failed to close properly, causing diesel fuel to overflow onto the terminal floor.","Operations halted, and spill contained using absorbent materials.
Faulty valve replaced and tested.
Additional safety inspections scheduled for all terminal equipment.",No injuries reported.
173,🟡 Minor,Minor,"April 17, 2022","Denver, Colorado",XYZ Pipeline Company,None (Near Miss),Guide 115,"A construction crew operating heavy machinery started digging without verifying the location of underground pipelines, endangering a high-pressure gas line.","Excavation work halted, and crew removed from site.
Pipeline integrity verified to confirm no damage.
Regulatory fines issued, and additional training mandated.",No injuries reported.
174,🟠 Moderate,Moderate,"October 25, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,None (Fire Event),Guide 115,"An electrical panel in the compressor station short-circuited, igniting a small fire inside the control room.","Fire suppression system activated, preventing further spread.
Electrical panel replaced, and station power restored.
Regular electrical safety audits scheduled.",No injuries reported.
175,🟡 Minor,Minor,"January 10, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A pressure regulator malfunctioned, leading to an overpressure event and subsequent rupture in an LPG pipeline.","Pipeline operations halted, and emergency response initiated.
Regulator replaced, and control systems upgraded.
Pressure monitoring systems recalibrated.",No injuries reported.
176,🟡 Minor,Minor,"July 30, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"An aging pipeline segment developed a hairline crack, leading to a slow oil leak detected by routine monitoring.","Pipeline section shut down, and damaged portion replaced.
Aging infrastructure review conducted, and repairs prioritized.
Pipeline integrity monitoring enhanced.",No injuries reported.
177,🟡 Minor,Minor,"May 6, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A SCADA (Supervisory Control and Data Acquisition) software error resulted in a delayed pressure release activation, leading to a temporary overpressure event.","Manual relief system activated by operators.
SCADA software patched and additional failsafes implemented.
Operator training conducted on responding to automation failures.",No injuries reported.
178,🟠 Moderate,Moderate,"February 15, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike at a crude oil storage tank farm ignited vapors near a tank vent, leading to a minor fire that was extinguished quickly.","Fire suppression system activated automatically.
Storage tank inspected for integrity before resuming operations.
Lightning protection system enhanced.",No injuries reported.
179,⚪ Near Miss / No Impact,,"September 12, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pipeline gasket was not seated correctly, allowing small amounts of crude oil to seep from a flange connection.","Pipeline section isolated, and gasket replaced.
All pipeline connections reviewed for proper installation.
Additional training provided for maintenance teams.",No injuries reported.
180,🟡 Minor,Minor,"March 9, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A valve malfunction in a refinery unit caused a brief but concentrated release of hydrogen sulfide gas, prompting an emergency shutdown.","Emergency alarms activated, and refinery personnel evacuated.
Ventilation systems engaged, and gas dispersion monitored.
Defective valve replaced, and leak detection systems upgraded.","One worker suffered mild exposure symptoms, treated on-site."
181,🟡 Minor,Minor,"May 2, 2023","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"Extreme cold weather caused frost heave, leading to shifting soil conditions that stressed and cracked a buried gas pipeline.","Pipeline section isolated, and crack repaired.
Geotechnical assessments conducted to evaluate soil movement risks.
Additional support structures installed in frost-prone areas.",No injuries reported.
182,🟡 Minor,Minor,"August 8, 2021","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A pump station control valve failed to close completely, leading to an overflow of diesel into the containment basin.","Pumping operations halted, and spill contained.
Valve repaired, and inspection schedule updated.
Automated valve shutoff systems reviewed and improved.",No injuries reported.
183,🟡 Minor,Minor,"April 12, 2022","Denver, Colorado",XYZ Pipeline Company,None (Near Miss),Guide 115,"A construction crew operating heavy equipment unknowingly dug within five feet of a high-pressure gas pipeline, scraping its protective coating.","Excavation work halted immediately.
Pipeline coating repaired and integrity assessment performed.
Contractor fined for violating dig safety regulations.",No injuries reported.
184,🟠 Moderate,Moderate,"October 27, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,None (Fire Event),Guide 115,A gas processing plant reported a fire caused by the ignition of flammable vapors near a gas dehydration unit.,"Fire suppression system activated and fire contained.
Facility shut down for damage assessment.
Upgraded ventilation system to prevent future vapor buildup.",No injuries reported.
185,🟡 Minor,Minor,"January 12, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A pipeline section weakened by long-term metal fatigue developed a rupture under pressure, releasing LPG into the environment.","Emergency shutdown and evacuation of the surrounding area.
Damaged pipeline section replaced with reinforced material.
Pipeline monitoring frequency increased in aging sections.",No injuries reported.
186,🟡 Minor,Minor,"July 22, 2021","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A flange connection on a newly installed pipeline segment was improperly sealed, leading to a slow crude oil leak.","Pipeline section shut down, and flange resealed.
Quality control procedures improved for flange installations.
Leak detection inspections increased for new pipeline segments.",No injuries reported.
187,🟡 Minor,Minor,"May 8, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A blocked pressure relief valve failed to vent excess pressure, causing a temporary overpressure event in a gas transmission pipeline.","Pipeline depressurized manually to prevent rupture.
Relief valve repaired and blockage removed.
Routine valve inspections scheduled to prevent future blockages.",No injuries reported.
188,🟠 Moderate,Moderate,"February 18, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike at an oil storage facility ignited vapors near a tank vent, causing a localized fire that was quickly extinguished.","Fire suppression system activated automatically.
Tank integrity assessment performed.
Facility lightning protection system enhanced.",No injuries reported.
189,⚪ Near Miss / No Impact,,"September 18, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pipeline segment installed in the 1980s developed a small stress fracture, leading to a slow crude oil leak.","Pipeline section isolated, and damaged portion replaced.
Aging pipeline replacement program accelerated.
Remote leak detection system improved.",No injuries reported.
190,🟡 Minor,Minor,"March 13, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A pressure relief valve in a refinery unit failed to reseat properly, leading to a release of hydrogen sulfide gas.","Emergency alarms activated, and personnel evacuated.
Valve repaired, and gas dispersion monitored.
Additional failsafe mechanisms installed in pressure control systems.","One worker experienced mild exposure symptoms, treated on-site."
191,🟡 Minor,Minor,"June 20, 2023","Houston, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A corroded section of an underground gas pipeline developed a pinhole leak, detected through routine aerial surveys.","Pipeline section isolated, and corroded portion replaced.
Enhanced corrosion protection measures applied.
Pipeline inspection frequency increased in corrosion-prone areas.",No injuries reported.
192,🟡 Minor,Minor,"August 14, 2021","Midland, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"An operator failed to shut off a transfer valve in time, leading to diesel overflow into a containment area.","Operations halted, and spill contained using absorbents.
Operator retrained on proper transfer protocols.
Automated shutoff systems installed to prevent similar incidents.",No injuries reported.
193,🟡 Minor,Minor,"April 5, 2022","Denver, Colorado",XYZ Pipeline Company,None (Near Miss),Guide 115,"A contractor performing foundation work failed to verify the presence of underground pipelines, coming within three feet of a high-pressure gas line.","Excavation work halted immediately.
Pipeline integrity verified through inspection.
Contractor fined, and safety training mandated.",No injuries reported.
194,🟠 Moderate,Moderate,"October 30, 2023","Cheyenne, Wyoming",XYZ Pipeline Company,None (Fire Event),Guide 128,"An electrical short in a pump control panel caused a small fire, shutting down station operations temporarily.","Fire suppression system activated, and fire contained.
Electrical panel replaced, and station power restored.
Routine electrical safety audits increased.",No injuries reported.
195,🟡 Minor,Minor,"January 20, 2022","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A weld repair on an LPG pipeline failed prematurely, causing a minor gas release, detected via remote monitoring.","Pipeline section isolated, and defective weld repaired.
Additional quality controls introduced for welding procedures.
Enhanced pipeline integrity inspections implemented.",No injuries reported.
196,🟡 Minor,Minor,"July 26, 2021**","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A minor earthquake (4.5 magnitude) caused ground movement, leading to a stress fracture in a buried crude oil pipeline.","Pipeline section isolated, and spill contained.
Geotechnical surveys conducted to assess seismic risks.
Seismic-resistant pipeline reinforcement installed in the area.",No injuries reported.
197,🟡 Minor,Minor,"May 14, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A vent line blockage prevented pressure release, leading to temporary overpressure in a transmission pipeline.","Emergency venting conducted manually.
Blocked vent line cleared and additional inspections performed.
Pipeline pressure monitoring systems upgraded.",No injuries reported.
198,🟠 Moderate,Moderate,"February 25, 2023","New Orleans, Louisiana",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike at a refinery storage tank ignited vapors, leading to a localized fire that was extinguished quickly.","Fire suppression system activated automatically.
Tank integrity assessment performed.
Lightning protection systems improved at the facility.",No injuries reported.
199,🟡 Minor,Minor,"September 25, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"An aging pipeline segment with external corrosion developed a slow leak, detected during a routine patrol.","Pipeline section shut down, and corroded segment replaced.
Cathodic protection system reviewed and reinforced.
Pipeline monitoring upgraded for early corrosion detection.",No injuries reported.
200,🟡 Minor,Minor,"March 15, 2024","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,"A pressure relief valve at a refinery processing unit failed, causing a brief release of hydrogen sulfide gas into the atmosphere.","Emergency alarms activated, and personnel evacuated.
Ventilation systems engaged, and gas dispersion monitored.
Defective valve replaced, and additional failsafe mechanisms installed.","One worker experienced mild exposure symptoms, treated on-site."
